trial_number,car_congestion,start_unix,start_timestamp,start_frame,end_unix,end_timestamp,end_frame
0,NoCongestion,1743103251857,3.655714,264,1743103313740,65.26667,2470
1,NoCongestion,1743103313742,65.26667,2470,1743103339721,91.26667,4087
2,MinimalCongestion,1743103339721,91.26667,4087,1743103374011,125.5333,5810
3,NoCongestion,1743103374012,125.5333,5810,1743103395782,147.32,7159
4,MinimalCongestion,1743103395782,147.32,7159,1743103414284,165.8,8053
5,MinimalCongestion,1743103414284,165.8,8053,1743103448598,200.1467,10116
6,NoCongestion,1743103448598,200.1467,10116,1743103478107,229.6267,11681
7,MinimalCongestion,1743103478108,229.6267,11681,1743103487134,238.68,12223
8,NoCongestion,1743103487134,238.68,12223,1743103505881,257.4,13183
