unix_ms,rel_timestamp,frame,event,side,screen_pos_x,screen_pos_y,screen_pos_z,target_name
1743103251857,0,,Activation,,,,,
1743103251857,0,264,,Left,0,0,0,
1743103251857,0,264,,Right,0,0,0,
1743103251857,0,264,,Center,0,0,0,
1743103252157,0.01999998,266,,Left,570.0573,844.0956,48.78759,
1743103252158,0.01999998,266,,Right,569.0894,844.0956,48.78759,
1743103252158,0.01999998,266,,Center,569.5733,844.0956,48.78759,
1743103252210,0.07042527,267,,Left,575.0922,840.2504,48.87315,
1743103252210,0.07042527,267,,Right,574.1261,840.2504,48.87316,
1743103252210,0.07042527,267,,Center,574.6092,840.2504,48.87316,
1743103252261,0.1220992,268,,Left,574.6436,839.4954,48.87052,
1743103252261,0.1220992,268,,Right,573.6775,839.4954,48.87052,
1743103252261,0.1220992,268,,Center,574.1605,839.4954,48.87052,
1743103252303,0.186039,269,,Left,577.0039,840.1598,48.89874,
1743103252303,0.186039,269,,Right,576.0383,840.1598,48.89874,
1743103252303,0.186039,269,,Center,576.5211,840.1598,48.89874,
1743103252356,0.215462,270,,Left,575.1594,839.7985,48.87588,
1743103252356,0.215462,270,,Right,574.1934,839.7985,48.87588,
1743103252356,0.215462,270,,Center,574.6764,839.7985,48.87588,
1743103252394,0.2674365,271,,Left,577.1882,836.3011,48.91725,
1743103252394,0.2674365,271,,Right,576.223,836.3011,48.91724,
1743103252394,0.2674365,271,,Center,576.7056,836.3011,48.91725,
1743103252422,0.3062243,272,,Left,702.9685,775.9607,49.954,
1743103252422,0.3062243,272,,Right,702.0234,775.9607,49.95401,
1743103252422,0.3062243,272,,Center,702.496,775.9607,49.954,
1743103252448,0.3345401,273,,Left,702.0474,776.884,49.95382,
1743103252448,0.3345401,273,,Right,701.1022,776.884,49.95382,
1743103252448,0.3345401,273,,Center,701.5748,776.884,49.95382,
1743103252480,0.3740227,274,Eye Hit,Left,749.6072,676.9781,49.30747,RoadCrosswalk
1743103252480,0.3740227,274,Eye Hit,Right,748.6496,676.9781,49.30747,RoadCrosswalk
1743103252480,0.3740227,274,Eye Hit,Center,749.1284,676.9781,49.30747,RoadCrosswalk
1743103252510,0.3936231,275,Eye Hit,Left,750.2186,674.4727,49.27847,RoadCrosswalk
1743103252510,0.3936231,275,Eye Hit,Right,749.2604,674.4727,49.27847,RoadCrosswalk
1743103252510,0.3936231,275,Eye Hit,Center,749.7395,674.4727,49.27847,RoadCrosswalk
1743103252539,0.4229982,276,Eye Hit,Left,750.3358,676.3518,49.29883,RoadCrosswalk
1743103252539,0.4229982,276,Eye Hit,Right,749.3781,676.3518,49.29882,RoadCrosswalk
1743103252539,0.4229982,276,Eye Hit,Center,749.857,676.3518,49.29883,RoadCrosswalk
1743103252569,0.4522688,277,Eye Hit,Left,747.4711,673.6666,49.27722,RoadCrosswalk
1743103252569,0.4522688,277,Eye Hit,Right,746.5128,673.6666,49.27722,RoadCrosswalk
1743103252569,0.4522688,277,Eye Hit,Center,746.9919,673.6666,49.27722,RoadCrosswalk
1743103252600,0.4828498,278,Eye Hit,Left,747.8268,673.1815,49.2711,RoadCrosswalk
1743103252600,0.4828498,278,Eye Hit,Right,746.8685,673.1815,49.2711,RoadCrosswalk
1743103252600,0.4828498,278,Eye Hit,Center,747.3477,673.1815,49.2711,RoadCrosswalk
1743103252630,0.513901,279,Eye Hit,Left,746.6409,668.7603,49.22417,RoadCrosswalk
1743103252630,0.513901,279,Eye Hit,Right,745.6818,668.7603,49.22416,RoadCrosswalk
1743103252630,0.513901,279,Eye Hit,Center,746.1613,668.7603,49.22417,RoadCrosswalk
1743103252662,0.5442173,280,Eye Hit,Left,747.5505,668.7277,49.22168,RoadCrosswalk
1743103252662,0.5442173,280,Eye Hit,Right,746.5913,668.7277,49.22168,RoadCrosswalk
1743103252662,0.5442173,280,Eye Hit,Center,747.0709,668.7277,49.22168,RoadCrosswalk
1743103252695,0.575628,281,Eye Hit,Left,745.4147,668.4583,49.22393,RoadCrosswalk
1743103252695,0.575628,281,Eye Hit,Right,744.4555,668.4583,49.22393,RoadCrosswalk
1743103252695,0.575628,281,Eye Hit,Center,744.9351,668.4583,49.22393,RoadCrosswalk
1743103252725,0.6082065,282,Eye Hit,Left,748.4372,666.8387,49.19777,RoadCrosswalk
1743103252725,0.6082065,282,Eye Hit,Right,747.4775,666.8387,49.19777,RoadCrosswalk
1743103252725,0.6082065,282,Eye Hit,Center,747.9573,666.8387,49.19777,RoadCrosswalk
1743103252757,0.6386101,283,Eye Hit,Left,751.3915,667.669,49.19955,RoadCrosswalk
1743103252757,0.6386101,283,Eye Hit,Right,750.4319,667.669,49.19955,RoadCrosswalk
1743103252757,0.6386101,283,Eye Hit,Center,750.9117,667.669,49.19955,RoadCrosswalk
1743103252787,0.6699026,284,Eye Hit,Left,758.2137,665.2174,49.14967,RoadCrosswalk
1743103252787,0.6699026,284,Eye Hit,Right,757.2531,665.2174,49.14967,RoadCrosswalk
1743103252787,0.6699026,284,Eye Hit,Center,757.7334,665.2174,49.14967,RoadCrosswalk
1743103252820,0.6998041,285,Eye Hit,Left,774.291,660.2471,49.02259,RoadCrosswalk
1743103252820,0.6998041,285,Eye Hit,Right,773.3278,660.2471,49.02259,RoadCrosswalk
1743103252820,0.6998041,285,Eye Hit,Center,773.8094,660.2471,49.02259,RoadCrosswalk
1743103252852,0.7333124,286,Eye Hit,Left,785.9371,658.6411,48.93935,RoadCrosswalk
1743103252852,0.7333124,286,Eye Hit,Right,784.9724,658.6411,48.93935,RoadCrosswalk
1743103252852,0.7333124,286,Eye Hit,Center,785.4547,658.6411,48.93935,RoadCrosswalk
1743103252882,0.7652695,287,,Left,645.7133,751.6625,49.63456,
1743103252882,0.7652695,287,,Right,644.762,751.6625,49.63456,
1743103252882,0.7652695,287,,Center,645.2376,751.6625,49.63456,
1743103252913,0.795718,288,,Left,589.5671,823.9227,49.11901,
1743103252913,0.795718,288,,Right,588.6058,823.9227,49.11901,
1743103252913,0.795718,288,,Center,589.0865,823.9227,49.11901,
1743103252946,0.826299,289,,Left,602.1645,821.2834,49.27365,
1743103252946,0.826299,289,,Right,601.2062,821.2834,49.27365,
1743103252946,0.826299,289,,Center,601.6854,821.2834,49.27365,
1743103252977,0.8600476,290,,Left,610.2849,824.5926,49.35156,
1743103252977,0.8600476,290,,Right,609.3282,824.5926,49.35157,
1743103252977,0.8600476,290,,Center,609.8066,824.5926,49.35156,
1743103253008,0.8904369,291,,Left,621.7795,823.7173,49.46791,
1743103253008,0.8904369,291,,Right,620.8251,823.7173,49.4679,
1743103253008,0.8904369,291,,Center,621.3022,823.7173,49.4679,
1743103253044,0.9209673,292,,Left,645.1258,829.1088,49.64447,
1743103253044,0.9209673,292,,Right,644.1747,829.1088,49.64446,
1743103253044,0.9209673,292,,Center,644.6502,829.1088,49.64446,
1743103253082,0.9568727,293,Eye Hit,Left,679.4981,851.8892,49.73044,NorthWalkingSignal
1743103253082,0.9568727,293,Eye Hit,Right,678.5486,851.8892,49.73045,NorthWalkingSignal
1743103253082,0.9568727,293,Eye Hit,Center,679.0234,851.8892,49.73045,NorthWalkingSignal
1743103253124,0.9947803,294,Eye Hit,Left,707.9107,850.6505,49.81144,NorthWalkingSignal
1743103253124,0.9947803,294,Eye Hit,Right,706.9628,850.6505,49.81144,NorthWalkingSignal
1743103253124,0.9947803,294,Eye Hit,Center,707.4368,850.6505,49.81144,NorthWalkingSignal
1743103253157,1.037112,295,Eye Hit,Left,724.9564,847.175,49.83725,NorthWalkingSignal
1743103253157,1.037112,295,Eye Hit,Right,724.009,847.175,49.83725,NorthWalkingSignal
1743103253157,1.037112,295,Eye Hit,Center,724.4827,847.175,49.83725,NorthWalkingSignal
1743103253198,1.069338,296,Eye Hit,Left,749.7491,842.2084,49.82228,NorthWalkingSignal
1743103253198,1.069338,296,Eye Hit,Right,748.8015,842.2084,49.82228,NorthWalkingSignal
1743103253198,1.069338,296,Eye Hit,Center,749.2752,842.2084,49.82228,NorthWalkingSignal
1743103253230,1.111213,297,Eye Hit,Left,759.3858,843.4434,49.78332,NorthWalkingSignal
1743103253230,1.111213,297,Eye Hit,Right,758.4374,843.4434,49.78333,NorthWalkingSignal
1743103253230,1.111213,297,Eye Hit,Center,758.9116,843.4434,49.78333,NorthWalkingSignal
1743103253271,1.141775,298,Eye Hit,Left,775.8908,839.3484,49.72829,NorthWalkingSignal
