unix_ms,rel_timestamp,frame,event,side,screen_pos_x,screen_pos_y,screen_pos_z,target_name,local_direction_x,local_direction_y,local_direction_z,angular_diff
1743103251857,0,264,,Center,0,0,0,,-3.270896E-10,-1.192241E-07,-2.143845E-10,0
1743103252158,0.01999998,266,,Center,569.5733,844.0956,48.78759,,-10.26472,3.554717,48.78759,12.55242
1743103252210,0.07042527,267,,Center,574.6092,840.2504,48.87316,,-9.938485,3.297971,48.87316,12.09317
1743103252261,0.1220992,268,,Center,574.1605,839.4954,48.87052,,-9.968616,3.246351,48.87053,12.10781
1743103252303,0.186039,269,,Center,576.5211,840.1598,48.89874,,-9.812925,3.293602,48.89874,11.95197
1743103252356,0.215462,270,,Center,574.6764,839.7985,48.87588,,-9.934446,3.267356,48.87589,12.07742
1743103252394,0.2674365,271,,Center,576.7056,836.3011,48.91725,,-9.804016,3.030846,48.91725,11.84764
1743103252422,0.3062243,272,,Center,702.496,775.9607,49.954,,-1.222984,-1.120921,49.954,1.902075
1743103252448,0.3345401,273,,Center,701.5748,776.884,49.95382,,-1.287341,-1.056449,49.95382,1.909366
1743103252480,0.3740227,274,Eye Hit,Center,749.1284,676.9781,49.30747,RoadCrosswalk,2.008829,-7.932623,49.30748,9.422894
1743103252510,0.3936231,275,Eye Hit,Center,749.7395,674.4727,49.27847,RoadCrosswalk,2.049762,-8.10065,49.27847,9.623878
1743103252539,0.4229982,276,Eye Hit,Center,749.857,676.3518,49.29883,RoadCrosswalk,2.058711,-7.974452,49.29883,9.484294
1743103252569,0.4522688,277,Eye Hit,Center,746.9919,673.6666,49.27722,RoadCrosswalk,1.86034,-8.155955,49.27723,9.634862
1743103252600,0.4828498,278,Eye Hit,Center,747.3477,673.1815,49.2711,RoadCrosswalk,1.884631,-8.188385,49.2711,9.677882
1743103252630,0.513901,279,Eye Hit,Center,746.1613,668.7603,49.22417,RoadCrosswalk,1.801152,-8.485038,49.22417,9.993831
1743103252662,0.5442173,280,Eye Hit,Center,747.0709,668.7277,49.22168,RoadCrosswalk,1.863684,-8.486907,49.22168,10.01131
1743103252695,0.575628,281,Eye Hit,Center,744.9351,668.4583,49.22393,RoadCrosswalk,1.716724,-8.505848,49.22394,9.997589
1743103252725,0.6082065,282,Eye Hit,Center,747.9573,666.8387,49.19777,RoadCrosswalk,1.923771,-8.612702,49.19777,10.16939
1743103252757,0.6386101,283,Eye Hit,Center,750.9117,667.669,49.19955,RoadCrosswalk,2.127143,-8.555807,49.19955,10.15923
1743103252787,0.6699026,284,Eye Hit,Center,757.7334,665.2174,49.14967,RoadCrosswalk,2.593938,-8.715678,49.14967,10.48214
1743103252820,0.6998041,285,Eye Hit,Center,773.8094,660.2471,49.02259,RoadCrosswalk,3.689499,-9.034002,49.02259,11.25806
1743103252852,0.7333124,286,Eye Hit,Center,785.4547,658.6411,48.93935,RoadCrosswalk,4.480353,-9.128555,48.93935,11.73809
1743103252882,0.7652695,287,,Center,645.2376,751.6625,49.63456,,-5.190155,-2.800613,49.63456,6.776129
1743103252913,0.795718,288,,Center,589.0865,823.9227,49.11901,,-8.993878,2.192838,49.11902,10.67321
1743103252946,0.826299,289,,Center,601.6854,821.2834,49.27365,,-8.153907,2.017969,49.27365,9.674489
1743103252977,0.8600476,290,,Center,609.8066,824.5926,49.35156,,-7.60623,2.249572,49.35156,9.130649
1743103253008,0.8904369,291,,Center,621.3022,823.7173,49.4679,,-6.828792,2.194253,49.4679,8.250193
1743103253044,0.9209673,292,,Center,644.6502,829.1088,49.64446,,-5.231974,2.576502,49.64446,6.700103
1743103253082,0.9568727,293,Eye Hit,Center,679.0234,851.8892,49.73045,NorthWalkingSignal,-2.850175,4.165428,49.73045,5.795184
1743103253124,0.9947803,294,Eye Hit,Center,707.4368,850.6505,49.81144,NorthWalkingSignal,-0.8752673,4.085978,49.81144,4.795302
1743103253157,1.037112,295,Eye Hit,Center,724.4827,847.175,49.83725,NorthWalkingSignal,0.3124735,3.845696,49.83726,4.427043
1743103253198,1.069338,296,Eye Hit,Center,749.2752,842.2084,49.82228,NorthWalkingSignal,2.040032,3.49862,49.82228,4.647219
1743103253230,1.111213,297,Eye Hit,Center,758.9116,843.4434,49.78333,NorthWalkingSignal,2.709418,3.581801,49.78333,5.154839
1743103253271,1.141775,298,Eye Hit,Center,775.416,839.3484,49.72829,NorthWalkingSignal,3.854353,3.292972,49.72829,5.820832
1743103253315,1.183745,299,,Center,792.9108,816.1902,49.69981,,5.068271,1.681386,49.69981,6.132484
1743103253357,1.236818,300,Eye Hit,Center,834.8989,813.796,49.33113,NorthWalkingSignal,7.927753,1.503665,49.33113,9.289608
1743103253399,1.269789,301,Eye Hit,Center,856.2328,818.6362,49.07086,NorthWalkingSignal,9.350143,1.828001,49.07087,10.98734
1743103253439,1.311328,302,,Center,853.2798,808.1812,49.12768,,9.158059,1.111703,49.12768,10.63527
1743103253482,1.352109,303,,Center,778.7791,797.2114,49.81671,,4.095537,0.3629764,49.81672,4.718249
1743103253523,1.396366,304,Eye Hit,Center,630.2179,768.6027,49.56987,NW_Tree_10,-6.224729,-1.622314,49.56987,7.393933
1743103253566,1.436119,305,Eye Hit,Center,632.2059,760.3113,49.56568,NW_Tree_10,-6.086384,-2.197054,49.56568,7.437908
1743103253608,1.478821,306,,Center,651.8134,762.9882,49.71991,,-4.74179,-2.017813,49.71991,5.917351
1743103253649,1.521446,307,,Center,678.6495,766.7827,49.87231,,-2.884385,-1.759287,49.87231,3.875554
1743103253691,1.578483,308,,Center,686.5756,743.814,49.81983,,-2.329046,-3.357811,49.81984,4.689222
1743103253732,1.60426,309,,Center,663.3287,762.2399,49.78772,,-3.946378,-2.072666,49.78772,5.116114
1743103253769,1.644664,310,Eye Hit,Center,639.6457,807.7258,49.66116,NorthCarSignal,-5.581345,1.092115,49.66116,6.53303
1743103253811,1.681865,311,Eye Hit,Center,663.325,800.7449,49.82607,NorthCarSignal,-3.949671,0.6092533,49.82607,4.585651
1743103253856,1.723994,312,Eye Hit,Center,691.0517,790.1154,49.94507,NorthCarSignal,-2.02222,-0.1318985,49.94507,2.323469
1743103253898,1.767657,313,Eye Hit,Center,738.2556,790.7112,49.96926,NorthCarSignal,1.275886,-0.09035003,49.96926,1.466337
1743103253929,1.807957,314,Eye Hit,Center,740.179,804.5932,49.95599,NorthCarSignal,1.409942,0.8796822,49.956,1.905262
1743103253962,1.839439,315,,Center,736.1303,781.9216,49.96552,,1.127267,-0.7045424,49.96552,1.523927
1743103253990,1.878006,316,,Center,687.0682,763.3523,49.88974,,-2.297946,-1.999286,49.88974,3.493735
