trial_number,car_congestion,start_unix,start_timestamp,start_frame,end_unix,end_timestamp,end_frame
0,NoCongestion,1742842016002,3.825446,276,1742842039788,27.36,1271
1,MinimalCongestion,1742842039791,27.36,1271,1742842061544,49.13334,2615
2,MinimalCongestion,1742842061544,49.13334,2615,1742842094919,82.50667,4170
3,NoCongestion,1742842094919,82.50667,4170,1742842113949,101.5467,5315
4,NoCongestion,1742842113949,101.5467,5315,1742842132355,119.92,6226
5,NoCongestion,1742842132355,119.92,6226,1742842174037,161.64,8742
6,MinimalCongestion,1742842174038,161.64,8742,1742842187504,175.08,9397
7,NoCongestion,1742842187505,175.08,9397,1742842205346,192.8933,10422
8,MinimalCongestion,1742842205346,192.8933,10422,1742842221701,209.2933,11226
