unix_ms,rel_timestamp,frame,obj_name,guid,pos_x,pos_y,pos_z,forward_x,forward_y,forward_z
1742842016047,3.825446,276,HighMale2,29686,24.07,0.02500001,-3.4,0.08419739,0,0.9964491
1742842016047,3.825446,276,CenterEyeAnchor,27386,-0.0142801,1.520584,0.05394337,-0.003624616,0.1324762,0.9911796
1742842016048,3.825446,276,LowFemale2,33854,17.21,0.02500001,11.37,0,0,1
1742842016048,3.825446,276,HighFemale2,33816,-16.42,0.02500001,-2.43,0,0,1
1742842016048,3.825446,276,LowMale2,28708,-26.46,0.02500001,13.55,0,0,1
1742842016226,3.825446,277,HighMale2,29686,24.07152,0.02500001,-3.39964,0.166123,0,0.986105
1742842016226,3.825446,277,CenterEyeAnchor,27386,-0.01210418,1.51854,0.05983826,-0.004773147,0.1191556,0.9928641
1742842016226,3.825446,277,LowFemale2,33854,17.21,0.02500001,11.37,0,0,1
1742842016226,3.825446,277,HighFemale2,33816,-16.42,0.02500001,-2.43,0,0,1
1742842016226,3.825446,277,LowMale2,28708,-26.46,0.02500001,13.55,-0.09333397,0,0.9956349
1742842016226,3.825446,277,MicroBus2-Detailed,27630,70,0,6.25,-1,0,-1.192093E-07
1742842016278,3.845446,278,HighMale2,29686,24.07818,0.02500001,-3.393752,0.2790806,0,0.9602677
1742842016278,3.845446,278,CenterEyeAnchor,27386,-0.01197654,1.51848,0.06018157,-0.004308437,0.1185347,0.9929405
1742842016278,3.845446,278,LowFemale2,33854,17.21,0.02500001,11.37,0.1338508,0,0.9910015
1742842016278,3.845446,278,HighFemale2,33816,-16.42,0.02500001,-2.43,-0.1198606,0,0.9927907
1742842016278,3.845446,278,LowMale2,28708,-26.45052,0.02500001,13.54995,-0.2243956,0,0.9744982
1742842016279,3.845446,278,MicroBus2-Detailed,27630,70,0,6.25,-1,0,-1.192093E-07
1742842016330,3.911603,279,HighMale2,29686,24.11404,0.02500001,-3.382458,0.5854686,0,0.8106951
1742842016330,3.911603,279,CenterEyeAnchor,27386,-0.01188751,1.518278,0.06015717,-0.002517537,0.1171736,0.9931083
1742842016330,3.911603,279,LowFemale2,33854,17.20457,0.02500001,11.37682,0.5369965,0,0.8435844
1742842016330,3.911603,279,HighFemale2,33816,-16.40721,0.02500001,-2.413354,-0.4777335,0,0.8785049
1742842016330,3.911603,279,LowMale2,28708,-26.44779,0.02500001,13.54993,-0.5966009,0,0.8025381
1742842016331,3.911603,279,MicroBus2-Detailed,27630,69.97334,0,6.25,-1,0,-1.192093E-07
1742842016392,3.947809,280,HighMale2,29686,24.16143,0.02500001,-3.39603,0.6905732,0,0.7232625
1742842016392,3.947809,280,CenterEyeAnchor,27386,-0.01190988,1.517998,0.05997115,0.0006572448,0.1145962,0.993412
1742842016392,3.947809,280,LowFemale2,33854,17.23632,0.02500001,11.3737,0.6825802,0,0.7308106
1742842016392,3.947809,280,HighFemale2,33816,-16.4266,0.02500001,-2.396128,-0.6075215,0,0.7943032
1742842016392,3.947809,280,LowMale2,28708,-26.48014,0.02500001,13.54287,-0.726035,0,0.6876577
1742842016392,3.947809,280,MicroBus2-Detailed,27630,69.936,0,6.25,-1,0,-1.192093E-07
1742842016446,4.030122,281,HighMale2,29686,24.22661,0.02500001,-3.390545,0.8444515,0,0.5356321
1742842016446,4.030122,281,CenterEyeAnchor,27386,-0.01220693,1.51821,0.05943932,0.0009063794,0.1172647,0.9931003
1742842016446,4.030122,281,LowFemale2,33854,17.32136,0.02500001,11.34757,0.8862572,0,0.4631934
1742842016446,4.030122,281,HighFemale2,33816,-16.48667,0.02500001,-2.387771,-0.80223,0,0.5970151
1742842016446,4.030122,281,LowMale2,28708,-26.5316,0.02500001,13.5409,-0.9034195,0,0.4287579
1742842016446,4.030122,281,MicroBus2-Detailed,27630,69.81335,0,6.25,-1,0,-1.192093E-07
1742842016513,4.062375,282,HighMale2,29686,24.2575,0.02500001,-3.386389,0.8745723,0,0.4848951
1742842016514,4.062375,282,CenterEyeAnchor,27386,-0.01243913,1.518499,0.05861409,0.002526888,0.1192232,0.9928643
1742842016514,4.062375,282,LowFemale2,33854,17.35205,0.02500001,11.3386,0.9223598,0,0.386332
1742842016514,4.062375,282,HighFemale2,33816,-16.5136,0.02500001,-2.380366,-0.8410987,0,0.5408817
