unix_ms,rel_timestamp,frame,event,side,screen_pos_x,screen_pos_y,screen_pos_z,target_name
1742842016002,0,,Activation,,,,,
1742842016002,0,276,,Left,0,0,0,
1742842016002,0,276,,Right,0,0,0,
1742842016002,0,276,,Center,0,0,0,
1742842016277,0.01999998,278,Eye Hit,Left,727.1718,684.6788,49.40723,Truck1-Detailed
1742842016277,0.01999998,278,Eye Hit,Right,726.2588,684.6788,49.40723,Truck1-Detailed
1742842016277,0.01999998,278,Eye Hit,Center,726.7153,684.6788,49.40723,Truck1-Detailed
1742842016329,0.08615732,279,,Left,702.874,792.8229,49.96636,
1742842016329,0.08615732,279,,Right,701.9712,792.8229,49.96636,
1742842016329,0.08615732,279,,Center,702.4226,792.8229,49.96637,
1742842016390,0.1223631,280,,Left,700.4811,682.5374,49.38736,
1742842016390,0.1223631,280,,Right,699.5677,682.5374,49.38735,
1742842016390,0.1223631,280,,Center,700.0244,682.5374,49.38735,
1742842016445,0.2046762,281,,Left,703.4102,670.1884,49.25893,
1742842016445,0.2046762,281,,Right,702.4945,670.1884,49.25893,
1742842016445,0.2046762,281,,Center,702.9523,670.1884,49.25893,
1742842016512,0.2369294,282,,Left,704.017,663.2958,49.18001,
1742842016512,0.2369294,282,,Right,703.0999,663.2958,49.18001,
1742842016512,0.2369294,282,,Center,703.5585,663.2957,49.18002,
1742842016555,0.3041229,283,,Left,698.5273,664.8177,49.18808,
1742842016555,0.3041229,283,,Right,697.6102,664.8177,49.18808,
1742842016555,0.3041229,283,,Center,698.0688,664.8177,49.18808,
1742842016582,0.3477945,284,,Left,696.997,666.2598,49.20155,
1742842016582,0.3477945,284,,Right,696.0803,666.2598,49.20155,
1742842016582,0.3477945,284,,Center,696.5386,666.2598,49.20155,
1742842016610,0.376349,285,,Left,696.5913,671.4911,49.26064,
1742842016610,0.376349,285,,Right,695.6757,671.4911,49.26064,
1742842016610,0.376349,285,,Center,696.1335,671.4911,49.26064,
1742842016643,0.4145489,286,,Left,723.6136,671.1084,49.28241,
1742842016643,0.4145489,286,,Right,722.6984,671.1084,49.28241,
1742842016643,0.4145489,286,,Center,723.1559,671.1084,49.28241,
1742842016671,0.4360843,287,,Left,722.9536,671.4962,49.28706,
1742842016671,0.4360843,287,,Right,722.0385,671.4962,49.28706,
1742842016671,0.4360843,287,,Center,722.496,671.4962,49.28707,
1742842016700,0.4646125,288,,Left,735.0148,647.0427,48.97612,
1742842016700,0.4646125,288,,Right,734.0938,647.0427,48.97612,
1742842016700,0.4646125,288,,Center,734.5543,647.0427,48.97612,
1742842016734,0.4944501,289,Eye Hit,Left,740.5127,645.8846,48.95187,NorthSidewalk
1742842016734,0.4944501,289,Eye Hit,Right,739.5913,645.8846,48.95187,NorthSidewalk
1742842016734,0.4944501,289,Eye Hit,Center,740.052,645.8846,48.95187,NorthSidewalk
1742842016775,0.5269842,290,Eye Hit,Left,741.9144,646.8718,48.96246,NorthSidewalk
1742842016775,0.5269842,290,Eye Hit,Right,740.9932,646.8718,48.96246,NorthSidewalk
1742842016775,0.5269842,290,Eye Hit,Center,741.4538,646.8718,48.96246,NorthSidewalk
1742842016816,0.5681882,291,,Left,741.4341,650.3467,49.00926,
1742842016816,0.5681882,291,,Right,740.5138,650.3467,49.00926,
1742842016816,0.5681882,291,,Center,740.9739,650.3467,49.00925,
1742842016849,0.6101427,292,,Left,737.2291,651.7597,49.035,
1742842016849,0.6101427,292,,Right,736.3092,651.7597,49.035,
1742842016849,0.6101427,292,,Center,736.7691,651.7597,49.035,
1742842016890,0.641674,293,,Left,669.0891,724.8095,49.63671,
1742842016890,0.641674,293,,Right,668.1804,724.8095,49.63671,
1742842016890,0.641674,293,,Center,668.6347,724.8095,49.6367,
1742842016922,0.6842475,294,,Left,669.2944,724.1274,49.63358,
1742842016922,0.6842475,294,,Right,668.3857,724.1274,49.63359,
1742842016922,0.6842475,294,,Center,668.8401,724.1274,49.63359,
1742842016962,0.7135291,295,,Left,675.6985,694.8523,49.43361,
1742842016962,0.7135291,295,,Right,674.7861,694.8523,49.43361,
1742842016962,0.7135291,295,,Center,675.2424,694.8522,49.43361,
1742842016993,0.7562194,296,Eye Hit,Left,686.8472,502.7875,46.29269,RoadCrosswalk
1742842016993,0.7562194,296,Eye Hit,Right,685.8729,502.7875,46.29269,RoadCrosswalk
1742842016993,0.7562194,296,Eye Hit,Center,686.36,502.7875,46.29269,RoadCrosswalk
1742842017034,0.7850046,297,Eye Hit,Left,698.0409,458.3514,45.27678,RoadCrosswalk
1742842017035,0.7850046,297,Eye Hit,Right,697.0447,458.3514,45.27679,RoadCrosswalk
1742842017035,0.7850046,297,Eye Hit,Center,697.5428,458.3514,45.27679,RoadCrosswalk
1742842017076,0.827764,298,Eye Hit,Left,685.8554,447.4406,44.98547,RoadCrosswalk
1742842017076,0.827764,298,Eye Hit,Right,684.8528,447.4406,44.98547,RoadCrosswalk
1742842017076,0.827764,298,Eye Hit,Center,685.3541,447.4406,44.98547,RoadCrosswalk
1742842017105,0.8688502,299,Eye Hit,Left,686.3028,424.1302,44.40545,RoadCrosswalk
1742842017105,0.8688502,299,Eye Hit,Right,685.287,424.1302,44.40545,RoadCrosswalk
1742842017105,0.8688502,299,Eye Hit,Center,685.7949,424.1302,44.40545,RoadCrosswalk
1742842017146,0.8977489,300,Eye Hit,Left,684.8329,423.6044,44.38913,RoadCrosswalk
1742842017146,0.8977489,300,Eye Hit,Right,683.8168,423.6044,44.38913,RoadCrosswalk
1742842017146,0.8977489,300,Eye Hit,Center,684.3248,423.6044,44.38913,RoadCrosswalk
1742842017175,0.9388938,301,Eye Hit,Left,689.467,443.6432,44.89968,RoadCrosswalk
1742842017175,0.9388938,301,Eye Hit,Right,688.4625,443.6432,44.89968,RoadCrosswalk
1742842017175,0.9388938,301,Eye Hit,Center,688.9647,443.6432,44.89968,RoadCrosswalk
1742842017216,0.9672294,302,Eye Hit,Left,693.4569,467.3482,45.48474,RoadCrosswalk
1742842017216,0.9672294,302,Eye Hit,Right,692.4653,467.3482,45.48475,RoadCrosswalk
1742842017216,0.9672294,302,Eye Hit,Center,692.9611,467.3482,45.48475,RoadCrosswalk
1742842017245,1.009133,303,Eye Hit,Left,697.2666,595.2939,48.16962,NorthSidewalk
1742842017245,1.009133,303,Eye Hit,Right,696.3302,595.2939,48.16962,NorthSidewalk
1742842017245,1.009133,303,Eye Hit,Center,696.7984,595.2939,48.16962,NorthSidewalk
1742842017286,1.037535,304,,Left,698.7545,640.8789,48.88211,
1742842017286,1.037535,304,,Right,697.8318,640.8789,48.8821,
1742842017286,1.037535,304,,Center,698.2931,640.8789,48.8821,
1742842017329,1.079206,305,,Left,700.7554,639.0793,48.86108,
1742842017329,1.079206,305,,Right,699.8323,639.0793,48.86108,
1742842017329,1.079206,305,,Center,700.2939,639.0793,48.86108,
1742842017357,1.12349,306,,Left,702.9402,638.8732,48.86183,
1742842017357,1.12349,306,,Right,702.017,638.8732,48.86183,
1742842017357,1.12349,306,,Center,702.4786,638.8732,48.86183,
1742842017384,1.149853,307,,Left,703.028,636.0375,48.82188,
1742842017384,1.149853,307,,Right,702.1041,636.0375,48.82188,
1742842017384,1.149853,307,,Center,702.566,636.0375,48.82188,
1742842017425,1.176549,308,,Left,703.8875,636.8019,48.83415,
1742842017425,1.176549,308,,Right,702.9637,636.8019,48.83415,
1742842017425,1.176549,308,,Center,703.4256,636.8019,48.83415,
1742842017468,1.219138,309,,Left,701.259,636.3743,48.8238,
1742842017468,1.219138,309,,Right,700.3351,636.3743,48.82381,
1742842017468,1.219138,309,,Center,700.797,636.3743,48.8238,
1742842017509,1.260515,310,,Left,633.3798,673.994,48.96486,
1742842017509,1.260515,310,,Right,632.4586,673.994,48.96486,
1742842017509,1.260515,310,,Center,632.9192,673.994,48.96486,
1742842017537,1.301459,311,,Left,616.6285,738.856,49.33142,
1742842017537,1.301459,311,,Right,615.7142,738.856,49.33143,
1742842017537,1.301459,311,,Center,616.1714,738.856,49.33143,
1742842017578,1.329285,312,,Left,616.4789,737.936,49.32556,
1742842017578,1.329285,312,,Right,615.5645,737.936,49.32556,
