trial_number,car_congestion,start_unix,start_timestamp,start_frame,end_unix,end_timestamp,end_frame
0,NoCongestion,1742939336921,3.867992,279,1742939590456,257.1467,7537
1,MinimalCongestion,1742939590459,257.1467,7537,1742939634029,300.7467,10191
2,NoCongestion,1742939634029,300.7467,10191,1742939674908,341.6,11896
3,NoCongestion,1742939674908,341.6,11896,1742939714833,381.5467,14322
4,NoCongestion,1742939714833,381.5467,14322,1742939754809,421.5067,16059
5,MinimalCongestion,1742939754809,421.5067,16059,1742939793803,460.52,18452
6,NoCongestion,1742939793803,460.52,18452,1742939836073,502.7733,20098
7,MinimalCongestion,1742939836073,502.7733,20098,1742939875597,542.32,22554
8,MinimalCongestion,1742939875597,542.32,22554,1742939915808,582.5067,24458
