unix_ms,rel_timestamp,frame,obj_name,guid,pos_x,pos_y,pos_z,forward_x,forward_y,forward_z
1742939336965,3.867992,279,HighMale2,29686,24.07,0.02500001,-3.4,0.08372205,0,0.9964892
1742939336965,3.867992,279,CenterEyeAnchor,27386,-0.08700032,1.530634,-0.00108593,-0.1409571,0.0979479,0.9851585
1742939336965,3.867992,279,LowFemale2,33854,17.21,0.02500001,11.37,0,0,1
1742939336965,3.867992,279,HighFemale2,33816,-16.42,0.02500001,-2.43,0,0,1
1742939336965,3.867992,279,LowMale2,28708,-26.46,0.02500001,13.55,0,0,1
1742939337148,3.867992,280,HighMale2,29686,24.0715,0.02500001,-3.399644,0.1652038,0,0.9862595
1742939337148,3.867992,280,CenterEyeAnchor,27386,-0.08732168,1.530342,-0.004454174,-0.1665163,0.08905569,0.9820089
1742939337148,3.867992,280,LowFemale2,33854,17.21,0.02500001,11.37,0,0,1
1742939337148,3.867992,280,HighFemale2,33816,-16.42,0.02500001,-2.43,0,0,1
1742939337148,3.867992,280,LowMale2,28708,-26.46,0.02500001,13.55,-0.09280528,0,0.9956843
1742939337148,3.867992,280,MicroBus1-Detailed,27438,70,0,6.25,-1,0,-1.192093E-07
1742939337200,3.887992,281,HighMale2,29686,24.07696,0.02500001,-3.396192,0.278215,0,0.9605188
1742939337200,3.887992,281,CenterEyeAnchor,27386,-0.08715367,1.530244,-0.004914508,-0.1685748,0.08885388,0.9816759
1742939337201,3.887992,281,LowFemale2,33854,17.21,0.02500001,11.37,0.1338508,0,0.9910015
1742939337201,3.887992,281,HighFemale2,33816,-16.42,0.02500001,-2.43,-0.1198606,0,0.9927907
1742939337201,3.887992,281,LowMale2,28708,-26.45638,0.02500001,13.54995,-0.2238891,0,0.9746146
1742939337201,3.887992,281,MicroBus1-Detailed,27438,70,0,6.25,-1,0,-1.192093E-07
1742939337252,3.953429,282,HighMale2,29686,24.11542,0.02500001,-3.383471,0.5820462,0,0.8131557
1742939337252,3.953429,282,CenterEyeAnchor,27386,-0.08711159,1.530169,-0.004994591,-0.169725,0.08812245,0.9815436
1742939337252,3.953429,282,LowFemale2,33854,17.20117,0.02500001,11.37822,0.5331763,0,0.8460041
1742939337252,3.953429,282,HighFemale2,33816,-16.40274,0.02500001,-2.410737,-0.4743744,0,0.8803232
1742939337252,3.953429,282,LowMale2,28708,-26.45289,0.02500001,13.54993,-0.5928146,0,0.805339
1742939337252,3.953429,282,MicroBus1-Detailed,27438,69.97334,0,6.25,-1,0,-1.192093E-07
1742939337313,3.991027,283,HighMale2,29686,24.16352,0.02500001,-3.396909,0.6917301,0,0.722156
1742939337313,3.991027,283,CenterEyeAnchor,27386,-0.08695948,1.53008,-0.00520302,-0.1692292,0.08785671,0.981653
1742939337313,3.991027,283,LowFemale2,33854,17.23339,0.02500001,11.37524,0.6848145,0,0.7287176
1742939337313,3.991027,283,HighFemale2,33816,-16.42227,0.02500001,-2.393182,-0.6096328,0,0.792684
1742939337313,3.991027,283,LowMale2,28708,-26.48194,0.02500001,13.54449,-0.727759,0,0.685833
1742939337314,3.991027,283,MicroBus1-Detailed,27438,69.936,0,6.25,-1,0,-1.192093E-07
1742939337361,4.064941,284,HighMale2,29686,24.22214,0.02500001,-3.392078,0.8325442,0,0.5539587
1742939337361,4.064941,284,CenterEyeAnchor,27386,-0.08688518,1.530111,-0.005279261,-0.1677399,0.08804873,0.9818914
1742939337361,4.064941,284,LowFemale2,33854,17.30784,0.02500001,11.35246,0.8719961,0,0.4895127
1742939337361,4.064941,284,HighFemale2,33816,-16.47649,0.02500001,-2.385904,-0.7874761,0,0.6163453
1742939337361,4.064941,284,LowMale2,28708,-26.54031,0.02500001,13.54122,-0.8910022,0,0.453999
1742939337361,4.064941,284,MicroBus1-Detailed,27438,69.83823,0,6.25,-1,0,-1.192093E-07
1742939337423,4.099275,285,HighMale2,29686,24.26297,0.02500001,-3.38667,0.8676205,0,0.4972272
1742939337423,4.099275,285,CenterEyeAnchor,27386,-0.0869935,1.530039,-0.005408494,-0.1665043,0.08800236,0.9821059
1742939337423,4.099275,285,LowFemale2,33854,17.34942,0.02500001,11.33929,0.91473,0,0.4040655
1742939337423,4.099275,285,HighFemale2,33816,-16.51138,0.02500001,-2.375726,-0.8326038,0,0.5538692
1742939337423,4.099275,285,LowMale2,28708,-26.57375,0.02500001,13.54398,-0.927624,0,0.3735154
1742939337424,4.099275,285,MicroBus1-Detailed,27438,69.75827,0,6.25,-1,0,-1.192093E-07
1742939337466,4.16262,286,HighMale2,29686,24.34391,0.02500001,-3.366205,0.9117206,0,0.4108108
1742939337466,4.16262,286,CenterEyeAnchor,27386,-0.08724074,1.529949,-0.005330298,-0.1658895,0.08711708,0.9822888
1742939337466,4.16262,286,LowFemale2,33854,17.41512,0.02500001,11.33447,0.9622018,0,0.2723377
