unix_ms,rel_timestamp,frame,event,side,screen_pos_x,screen_pos_y,screen_pos_z,target_name,local_direction_x,local_direction_y,local_direction_z,angular_diff
1742939336922,0,279,,Center,0,0,0,,3.754258E-13,-2.442736E-12,3.492372E-10,0
1742939337198,0.01999998,281,,Center,851.3121,786.2393,49.15908,,9.028621,-0.3961848,49.15908,10.41682
1742939337251,0.0854373,282,,Center,834.0752,787.1857,49.35736,,7.875098,-0.3324287,49.35736,9.073245
1742939337312,0.1230347,283,,Center,833.1157,768.2131,49.34207,,7.806445,-1.641833,49.34207,9.183652
1742939337359,0.1969492,284,,Center,831.4028,766.5977,49.35633,,7.690448,-1.753758,49.35633,9.079955
1742939337422,0.2312825,285,,Center,830.4116,769.6439,49.37356,,7.624692,-1.543973,49.37356,8.954097
1742939337464,0.2946274,286,Eye Hit,Center,835.6975,752.6124,49.26783,Truck1-Detailed,7.97261,-2.714265,49.26783,9.700527
1742939337491,0.3381922,287,,Center,837.191,691.6359,48.85783,,8.008317,-6.858638,48.85783,12.17811
1742939337518,0.3647878,288,Eye Hit,Center,780.9156,589.3078,47.92659,NorthSidewalk,4.083361,-13.58727,47.92659,16.4902
1742939337560,0.4025466,289,Eye Hit,Center,731.4407,495.623,46.16738,RoadCrosswalk,0.7387561,-19.13804,46.16738,22.53086
1742939337602,0.432781,290,Eye Hit,Center,721.8207,479.665,45.8026,RoadCrosswalk,0.116634,-20.00905,45.8026,23.59866
1742939337644,0.4764106,291,Eye Hit,Center,721.7795,478.7119,45.78038,RoadCrosswalk,0.1139395,-20.0603,45.78038,23.66268
1742939337674,0.5172703,292,Eye Hit,Center,713.2271,479.9302,45.80738,RoadCrosswalk,-0.433934,-19.9941,45.80738,23.58536
1742939337716,0.5464599,293,Eye Hit,Center,713.2782,479.1264,45.78868,RoadCrosswalk,-0.4304833,-20.03748,45.78868,23.63942
1742939337746,0.589515,294,Eye Hit,Center,682.7074,440.1781,44.79797,RoadCrosswalk,-2.336653,-22.04435,44.79797,26.32807
1742939337786,0.6183426,295,Eye Hit,Center,684.7407,446.6208,44.96209,RoadCrosswalk,-2.217344,-21.71999,44.96209,25.90049
1742939337829,0.6588833,296,Eye Hit,Center,709.9817,461.2191,45.35917,RoadCrosswalk,-0.6355852,-20.98564,45.35917,24.83785
1742939337873,0.7032411,297,Eye Hit,Center,833.6252,613.0876,47.92166,NorthSidewalk,7.615867,-11.99196,47.92167,16.51197
1742939337915,0.745908,298,,Center,920.775,684.1421,47.62295,,13.37331,-7.184335,47.62295,17.68088
1742939337943,0.7877662,299,,Center,932.4823,683.8754,47.41723,,14.09197,-7.170969,47.41722,18.44133
1742939337984,0.8159139,300,,Center,932.8406,689.0445,47.45653,,14.12743,-6.83386,47.45653,18.29864
1742939338013,0.8583467,301,,Center,935.5956,694.0192,47.44851,,14.30788,-6.502579,47.44851,18.32623
1742939338041,0.8857281,302,,Center,935.1207,699.2744,47.49863,,14.29145,-6.160275,47.49863,18.14104
1742939338068,0.9127696,303,,Center,934.9897,710.8175,47.5853,,14.3088,-5.403278,47.5853,17.8186
1742939338110,0.9417126,304,Eye Hit,Center,928.3933,721.0741,47.76938,NorthSidewalk,13.92343,-4.738926,47.76938,17.11318
1742939338152,0.984195,305,Eye Hit,Center,852.6958,545.7591,46.54428,RoadCrosswalk,8.63846,-16.03029,46.54428,21.36712
1742939338181,1.025531,306,Eye Hit,Center,816.7346,533.5238,46.62577,RoadCrosswalk,6.308424,-16.85625,46.62577,21.10711
1742939338208,1.053961,307,Eye Hit,Center,816.3532,538.8893,46.7377,RoadCrosswalk,6.298634,-16.546,46.73771,20.74677
1742939338236,1.081409,308,Eye Hit,Center,815.55,560.5333,47.16774,RoadCrosswalk,6.303599,-15.27045,47.16774,19.30265
1742939338277,1.108913,309,Eye Hit,Center,817.8259,614.3391,48.07915,RoadCrosswalk,6.578454,-11.9472,48.07915,15.83707
1742939338318,1.149961,310,Eye Hit,Center,818.4224,651.2766,48.59336,RoadCrosswalk,6.689348,-9.56446,48.59336,13.506
1742939338346,1.191184,311,Eye Hit,Center,813.8229,655.2717,48.6842,RoadCrosswalk,6.38866,-9.310392,48.6842,13.05794
1742939338387,1.219406,312,Eye Hit,Center,812.0386,594.9963,47.81182,RoadCrosswalk,6.154858,-13.17423,47.81182,16.91616
1742939338417,1.2608,313,Eye Hit,Center,810.899,567.282,47.32733,SouthSidewalk,6.017056,-14.8754,47.32733,18.72914
1742939338444,1.28972,314,Eye Hit,Center,812.8307,559.1764,47.15946,SouthSidewalk,6.123127,-15.35715,47.15946,19.3193
1742939338473,1.316799,315,Eye Hit,Center,809.18,575.0315,47.48343,SouthSidewalk,5.922734,-14.40965,47.48343,18.16472
1742939338514,1.346115,316,Eye Hit,Center,801.1949,598.408,47.94663,SouthSidewalk,5.445022,-12.98262,47.94663,16.36345
1742939338555,1.387904,317,Eye Hit,Center,803.3364,610.8302,48.13602,SouthSidewalk,5.610713,-12.19769,48.13602,15.58499
1742939338597,1.429049,318,Eye Hit,Center,820.6511,560.2589,47.11726,SouthSidewalk,6.633027,-15.27214,47.11726,19.46248
1742939338625,1.470615,319,Eye Hit,Center,820.7169,551.0012,46.93938,SouthSidewalk,6.612302,-15.82223,46.93938,20.06874
1742939338666,1.497288,320,Eye Hit,Center,804.5406,569.063,47.40769,SouthSidewalk,5.605661,-14.78249,47.40769,18.44267
1742939338695,1.539995,321,Eye Hit,Center,798.2042,588.7194,47.80657,SouthSidewalk,5.229145,-13.59264,47.80657,16.94282
1742939338723,1.568538,322,Eye Hit,Center,797.4691,593.1708,47.88938,SouthSidewalk,5.188967,-13.31802,47.88938,16.6184
1742939338764,1.594987,323,Eye Hit,Center,789.7034,604.9169,48.13616,SouthSidewalk,4.69287,-12.59567,48.13616,15.60182
1742939338807,1.637737,324,Eye Hit,Center,783.4274,602.3325,48.13084,SouthSidewalk,4.269857,-12.76828,48.13084,15.62755
1742939338836,1.681123,325,Eye Hit,Center,785.178,606.7585,48.19429,SouthSidewalk,4.393485,-12.48675,48.19429,15.35824
1742939338862,1.708236,326,Eye Hit,Center,779.4132,607.0497,48.23123,SouthSidewalk,4.007967,-12.47674,48.23123,15.20061
1742939338904,1.735141,327,Eye Hit,Center,771.1235,602.2289,48.19269,SouthSidewalk,3.445995,-12.79172,48.19269,15.37047
1742939338932,1.778066,328,Eye Hit,Center,769.8067,601.4036,48.18546,SouthSidewalk,3.356731,-12.84549,48.18546,15.40479
1742939338959,1.805084,329,Eye Hit,Center,854.9629,623.9058,47.85397,SouthSidewalk,9.033278,-11.25088,47.85397,16.77866
1742939338987,1.831151,330,Eye Hit,Center,930.1013,671.5555,47.34047,SouthSidewalk,13.91151,-7.975263,47.34047,18.71257
1742939339028,1.859653,331,Eye Hit,Center,919.1936,665.965,47.46933,SouthSidewalk,13.22518,-8.368084,47.46933,18.24694
1742939339070,1.901685,332,Eye Hit,Center,898.4192,657.3419,47.70618,SouthSidewalk,11.90499,-8.985235,47.70618,17.3617
1742939339098,1.943396,333,Eye Hit,Center,890.2904,644.1672,47.66873,SouthSidewalk,11.35368,-9.8566,47.66873,17.50583
1742939339126,1.97219,334,Eye Hit,Center,880.5703,640.8521,47.76348,SouthSidewalk,10.7269,-10.09764,47.76348,17.14156
1742939339153,1.998527,335,Eye Hit,Center,857.8214,637.0833,48.00613,RoadCrosswalk,9.253933,-10.40197,48.00613,16.17297
1742939339182,2.026214,336,Eye Hit,Center,840.2582,625.3537,48.0393,SouthSidewalk,8.080237,-11.19717,48.0393,16.03655
1742939339210,2.055111,337,Eye Hit,Center,820.0339,619.3575,48.14456,RoadCrosswalk,6.73608,-11.62554,48.14456,15.59324
1742939339240,2.090299,338,Eye Hit,Center,789.7592,603.5913,48.12107,RoadCrosswalk,4.695155,-12.68095,48.12107,15.69561
1742939339266,2.112825,339,Eye Hit,Center,778.7652,602.9632,48.1722,RoadCrosswalk,3.959401,-12.73675,48.1722,15.47641
1742939339308,2.139952,340,Eye Hit,Center,798.0606,689.0968,49.18606,RoadCrosswalk,5.370156,-7.079346,49.18607,10.24035
1742939339349,2.18534,341,Eye Hit,Center,805.8781,696.3761,49.19209,RoadEast,5.908685,-6.57944,49.19209,10.19111
1742939339390,2.222437,342,Eye Hit,Center,926.1794,749.8121,47.94454,RoadEast,13.82603,-2.829261,47.94454,16.40186
1742939339419,2.263465,343,Eye Hit,Center,947.6794,755.551,47.56606,RoadEast,15.14725,-2.425018,47.56606,17.8746
1742939339446,2.291681,344,Eye Hit,Center,958.9178,745.8775,47.31385,RoadEast,15.81065,-3.052306,47.31385,18.79526
1742939339474,2.318553,345,Eye Hit,Center,921.6188,739.8087,47.9851,RoadEast,13.53164,-3.503043,47.9851,16.24046
1742939339516,2.354527,346,Eye Hit,Center,873.9514,729.7108,48.68211,RoadEast,10.48253,-4.241473,48.68211,13.07705
1742939339557,2.389455,347,Eye Hit,Center,840.8837,722.7042,49.05654,RoadEast,8.294263,-4.754853,49.05655,11.02798
1742939339598,2.42996,348,Eye Hit,Center,836.345,724.983,49.12066,RoadEast,7.993273,-4.604372,49.12066,10.63591
1742939339627,2.472683,349,Eye Hit,Center,875.079,737.6765,48.70962,RoadEast,10.56527,-3.701098,48.70962,12.94334
1742939339669,2.499456,350,Eye Hit,Center,875.9146,739.2772,48.70567,RoadEast,10.62134,-3.591751,48.70567,12.96383
1742939339697,2.539946,351,Eye Hit,Center,873.3487,737.4638,48.73345,RoadEast,10.4525,-3.71739,48.73345,12.82446
1742939339730,2.568771,352,Eye Hit,Center,860.5239,735.4075,48.8954,RoadEast,9.610171,-3.87044,48.8954,11.96326
1742939339758,2.600219,353,Eye Hit,Center,847.3913,723.7418,48.9901,RoadEast,8.728929,-4.677294,48.9901,11.42805
1742939339776,2.628543,354,Eye Hit,Center,843.4783,708.3603,48.92854,RoadEast,8.450175,-5.724081,48.92854,11.78283
