unix_ms,rel_timestamp,frame,obj_name,guid,pos_x,pos_y,pos_z,forward_x,forward_y,forward_z
1743003361210,3.701833,267,HighMale2,29686,24.07,0.02500001,-3.4,0.08358394,0,0.9965007
1743003361210,3.701833,267,CenterEyeAnchor,27386,0.004605399,1.722735,0.01238636,0.05136683,0.06131189,0.996796
1743003361210,3.701833,267,LowFemale2,33854,17.21,0.02500001,11.37,0,0,1
1743003361210,3.701833,267,HighFemale2,33816,-16.42,0.02500001,-2.43,0,0,1
1743003361210,3.701833,267,LowMale2,28708,-26.46,0.02500001,13.55,0,0,1
1743003361436,3.701833,268,HighMale2,29686,24.07149,0.02500001,-3.399645,0.1649366,0,0.9863042
1743003361436,3.701833,268,CenterEyeAnchor,27386,0.005493237,1.72443,0.007759098,0.03486653,0.07257291,0.9967535
1743003361436,3.701833,268,LowFemale2,33854,17.21,0.02500001,11.37,0,0,1
1743003361436,3.701833,268,HighFemale2,33816,-16.42,0.02500001,-2.43,0,0,1
1743003361436,3.701833,268,LowMale2,28708,-26.46,0.02500001,13.55,-0.09265164,0,0.9956986
1743003361437,3.701833,268,MicroBus3-Detailed,27684,70,0,6.25,-1,0,-1.192093E-07
1743003361488,3.721833,269,HighMale2,29686,24.07808,0.02500001,-3.393767,0.277976,0,0.960588
1743003361488,3.721833,269,CenterEyeAnchor,27386,0.006041342,1.723676,0.008652795,0.03591514,0.06633745,0.9971507
1743003361488,3.721833,269,LowFemale2,33854,17.21,0.02500001,11.37,0.1338508,0,0.9910015
1743003361488,3.721833,269,HighFemale2,33816,-16.42,0.02500001,-2.43,-0.1198606,0,0.9927907
1743003361488,3.721833,269,LowMale2,28708,-26.45055,0.02500001,13.54996,-0.2237418,0,0.9746485
1743003361488,3.721833,269,MicroBus3-Detailed,27684,70,0,6.25,-1,0,-1.192093E-07
1743003361540,3.770679,270,HighMale2,29686,24.10729,0.02500001,-3.383999,0.5127932,0,0.8585122
1743003361540,3.770679,270,CenterEyeAnchor,27386,0.006671427,1.723383,0.008781863,0.03963497,0.06358974,0.9971887
1743003361540,3.770679,270,LowFemale2,33854,17.20284,0.02500001,11.37638,0.4410817,0,0.897467
1743003361540,3.770679,270,HighFemale2,33816,-16.40797,0.02500001,-2.416138,-0.3918493,0,0.9200294
1743003361540,3.770679,270,LowMale2,28708,-26.44991,0.02500001,13.54995,-0.5089499,0,0.8607962
1743003361540,3.770679,270,MicroBus3-Detailed,27684,69.98933,0,6.25,-1,0,-1.192093E-07
1743003361590,3.822322,271,HighMale2,29686,24.16473,0.02500001,-3.396458,0.6829126,0,0.7305
1743003361590,3.822322,271,CenterEyeAnchor,27386,0.007363144,1.723349,0.008737095,0.04482135,0.06338093,0.9969824
1743003361590,3.822322,271,LowFemale2,33854,17.2323,0.02500001,11.37706,0.6738225,0,0.7388933
1743003361590,3.822322,271,HighFemale2,33816,-16.41999,0.02500001,-2.397031,-0.5991275,0,0.8006537
1743003361590,3.822322,271,LowMale2,28708,-26.48756,0.02500001,13.54517,-0.7178186,0,0.6962302
1743003361591,3.822322,271,MicroBus3-Detailed,27684,69.95023,0,6.25,-1,0,-1.192093E-07
1743003361631,3.889087,272,HighMale2,29686,24.23577,0.02500001,-3.396483,0.8166671,0,0.577109
