trial_number,car_congestion,start_unix,start_timestamp,start_frame,end_unix,end_timestamp,end_frame
0,NoCongestion,1743003361163,3.701833,267,1743003425106,67.34667,2655
1,NoCongestion,1743003425109,67.34667,2655,1743003467915,110.1733,5393
2,MinimalCongestion,1743003467915,110.1733,5393,1743003509825,152.0667,7594
3,MinimalCongestion,1743003509825,152.0667,7594,1743003552720,194.9867,10130
4,NoCongestion,1743003552720,194.9867,10130,1743003593472,235.7067,12018
5,MinimalCongestion,1743003593472,235.7067,12018,1743003630445,272.7067,14260
6,NoCongestion,1743003630445,272.7067,14260,1743003664127,306.36,15993
7,NoCongestion,1743003664127,306.36,15993,1743003708646,350.9067,18807
8,MinimalCongestion,1743003708647,350.9067,18807,1743003743345,385.5867,20645
