unix_ms,rel_timestamp,frame,event,side,screen_pos_x,screen_pos_y,screen_pos_z,target_name,local_direction_x,local_direction_y,local_direction_z,angular_diff
1742844904966,0,263,,Center,0,0,0,,0,0,0,0
1742844905239,0.01999998,265,Eye Hit,Center,622.6136,656.0743,48.66792,RoadCrosswalk,-6.629093,-9.252463,48.66792,13.16336
1742844905291,0.07194686,266,Eye Hit,Center,634.6092,668.243,48.90895,RoadCrosswalk,-5.841339,-8.465861,48.90895,11.8762
1742844905343,0.1027176,267,Eye Hit,Center,655.504,688.3788,49.26331,RoadCrosswalk,-4.443949,-7.139786,49.26331,9.687669
1742844905392,0.1709566,268,Eye Hit,Center,677.6706,728.4556,49.69122,RoadCrosswalk,-2.941947,-4.416413,49.69122,6.095579
1742844905446,0.2016134,269,Eye Hit,Center,650.9537,683.8893,49.18742,RoadCrosswalk,-4.750152,-7.437651,49.18742,10.17168
1742844905493,0.2396193,270,Eye Hit,Center,632.6912,545.964,46.94491,RoadCrosswalk,-5.732701,-16.15474,46.94491,20.05946
1742844905527,0.2850442,271,Eye Hit,Center,656.0484,622.804,48.45389,RoadCrosswalk,-4.33404,-11.46652,48.45389,14.19727
1742844905558,0.3198123,272,Eye Hit,Center,679.1376,734.2414,49.73776,RoadCrosswalk,-2.84265,-4.018054,49.73776,5.651457
1742844905588,0.360069,273,Eye Hit,Center,682.4095,743.4962,49.79833,RoadCrosswalk,-2.618217,-3.37834,49.79833,4.905644
1742844905617,0.3875501,274,Eye Hit,Center,680.9245,742.943,49.79042,RoadCrosswalk,-2.721217,-3.41633,49.79042,5.013173
1742844905646,0.4157827,275,Eye Hit,Center,683.0061,742.212,49.79496,RoadCrosswalk,-2.576489,-3.467553,49.79496,4.958277
1742844905679,0.439769,276,Eye Hit,Center,694.2084,734.5278,49.78929,RoadCrosswalk,-1.796087,-4.002276,49.78929,5.035206
1742844905709,0.4729273,277,Eye Hit,Center,701.6438,732.8115,49.79541,RoadCrosswalk,-1.278452,-4.122296,49.79541,4.953691
1742844905740,0.5043995,278,Eye Hit,Center,707.3124,734.1248,49.8111,RoadCrosswalk,-0.8839327,-4.0321,49.8111,4.737268
1742844905775,0.5348327,279,Eye Hit,Center,713.6076,737.0521,49.83245,RoadCrosswalk,-0.4455433,-3.829799,49.83245,4.424255
1742844905805,0.5678866,280,Eye Hit,Center,714.9109,740.6794,49.85157,RoadCrosswalk,-0.3548413,-3.578357,49.85157,4.125782
1742844905837,0.5998495,281,Eye Hit,Center,718.0195,737.8267,49.83798,RoadCrosswalk,-0.1380567,-3.776231,49.83798,4.335896
1742844905870,0.6304557,282,Eye Hit,Center,723.6863,736.2184,49.82908,RoadCrosswalk,0.2569102,-3.887648,49.82908,4.470849
1742844905901,0.662863,283,Eye Hit,Center,737.3417,729.9896,49.78019,RoadCrosswalk,1.207425,-4.317516,49.78019,5.146165
1742844905934,0.6939189,284,Eye Hit,Center,758.0193,719.279,49.6563,RoadCrosswalk,2.640532,-5.050649,49.6563,6.547392
1742844905964,0.7264659,285,Eye Hit,Center,774.4434,707.4398,49.49568,RoadCrosswalk,3.768997,-5.853911,49.49568,8.006973
1742844905998,0.7564161,286,Eye Hit,Center,808.6686,690.6654,49.12055,RoadCrosswalk,6.091804,-6.961999,49.12055,10.66564
1742844906030,0.798559,287,Eye Hit,Center,825.6322,684.9319,48.91441,RoadCrosswalk,7.226799,-7.325039,48.91441,11.87989
1742844906060,0.8230932,288,Eye Hit,Center,732.1395,759.6227,49.9243,NorthSidewalk,0.8476713,-2.260818,49.9243,2.768808
1742844906094,0.8521016,289,Eye Hit,Center,714.6182,771.7213,49.96048,NorthSidewalk,-0.3760655,-1.417032,49.96048,1.680861
1742844906138,0.8871543,290,Eye Hit,Center,739.3746,771.0663,49.94236,NorthSidewalk,1.353361,-1.462271,49.94236,2.284562
1742844906184,0.9312341,291,Eye Hit,Center,791.7553,761.3999,49.68824,NorthSidewalk,4.986784,-2.126618,49.68824,6.226709
1742844906227,0.9838293,292,Eye Hit,Center,834.6849,748.2719,49.26391,NorthSidewalk,7.902201,-3.013023,49.26391,9.741019
1742844906268,1.03217,293,,Center,762.8174,775.3232,49.88002,,2.98717,-1.163464,49.88002,3.677274
1742844906309,1.060446,294,Eye Hit,Center,745.4974,787.0082,49.94962,NW_Tree_10,1.781315,-0.3487435,49.94962,2.081119
1742844906353,1.103557,295,,Center,742.5162,790.5205,49.95765,,1.57329,-0.1033792,49.95765,1.807644
1742844906395,1.146421,296,,Center,772.4126,780.4879,49.84295,,3.653864,-0.8025487,49.84295,4.292267
1742844906437,1.186079,297,,Center,774.0054,775.9763,49.82864,,3.763819,-1.116745,49.82864,4.505022
1742844906469,1.226923,298,,Center,649.471,766.9278,49.70986,,-4.903693,-1.743202,49.70986,5.976748
1742844906500,1.259364,299,,Center,637.5298,767.4144,49.62346,,-5.723966,-1.706398,49.62346,6.863357
1742844906529,1.290097,300,,Center,633.1002,758.6546,49.56358,,-6.02413,-2.311593,49.56358,7.417302
1742844906547,1.319363,301,,Center,648.6433,756.0362,49.67277,,-4.957536,-2.498601,49.67277,6.377105
1742844906564,1.33756,302,,Center,657.421,756.5853,49.73117,,-4.352814,-2.463344,49.73117,5.742965
1742844906601,1.379971,304,,Center,683.6675,757.1956,49.85885,,-2.533673,-2.427109,49.85885,4.025258
1742844906633,1.407975,306,,Center,707.7046,758.2043,49.91922,,-0.8584677,-2.359623,49.91922,2.879568
1742844906667,1.440495,308,,Center,715.8114,759.2517,49.9293,,-0.2925063,-2.286953,49.9293,2.643898
1742844906699,1.47437,310,Eye Hit,Center,580.4794,761.1097,49.01264,SW_Tree_10,-9.564437,-2.117599,49.01264,11.30265
1742844906731,1.506523,312,Eye Hit,Center,572.3233,759.9244,48.9019,SW_Tree_10,-10.10068,-2.193883,48.9019,11.93471
1742844906764,1.537813,314,,Center,588.2003,761.6454,49.11146,,-9.053367,-2.085071,49.11146,10.71201
1742844906780,1.554489,315,Eye Hit,Center,600.8931,755.6927,49.24136,SW_Tree_10,-8.203132,-2.50056,49.24136,9.879439
1742844906812,1.587018,317,Eye Hit,Center,618.5707,749.3694,49.40096,SW_Tree_10,-7.008284,-2.945572,49.40096,8.748396
1742844906845,1.618809,319,Eye Hit,Center,629.2532,748.1197,49.49303,SW_Tree_10,-6.281861,-3.037572,49.49303,8.024899
1742844906862,1.635837,320,Eye Hit,Center,641.3657,748.6749,49.59314,SW_Tree_10,-5.454391,-3.005202,49.59314,7.157303
1742844906894,1.669472,322,Eye Hit,Center,653.5397,757.3659,49.71036,SW_Tree_10,-4.620855,-2.408039,49.71036,5.983893
1742844906925,1.700277,324,Eye Hit,Center,664.0264,758.9843,49.77734,SW_Tree_10,-3.896976,-2.298608,49.77734,5.193465
1742844906959,1.732401,326,Eye Hit,Center,669.0102,759.2805,49.80389,SW_Tree_10,-3.551891,-2.2792,49.80389,4.843552
1742844906974,1.749239,327,,Center,659.1861,754.4666,49.73437,,-4.230313,-2.610882,49.73437,5.70798
1742844907005,1.780194,329,,Center,663.0693,754.1274,49.75515,,-3.961846,-2.63558,49.75515,5.462927
1742844907037,1.812,331,,Center,609.8698,742.7545,49.28566,,-7.591713,-3.394686,49.28566,9.577478
1742844907068,1.842877,333,,Center,613.5975,742.795,49.32364,,-7.340405,-3.394512,49.32364,9.311584
1742844907100,1.874222,335,,Center,616.7953,744.6873,49.36346,,-7.125544,-3.2666,49.36346,9.022885
1742844907132,1.907212,337,,Center,626.1249,748.7437,49.46732,,-6.49504,-2.992819,49.46732,8.226144
1742844907164,1.93943,339,,Center,627.4034,750.3611,49.48491,,-6.408861,-2.881942,49.48491,8.082184
1742844907198,1.972427,341,,Center,677.458,754.3912,49.82376,,-2.964607,-2.620832,49.82376,4.540923
1742844907213,1.989357,342,,Center,675.0682,758.1594,49.82684,,-3.131339,-2.358382,49.82684,4.498408
1742844907246,2.020214,344,,Center,673.2318,762.1238,49.83094,,-3.259587,-2.082274,49.83094,4.438488
1742844907265,2.036926,345,,Center,673.1605,763.5322,49.83424,,-3.264772,-1.984241,49.83424,4.383918
1742844907281,2.055213,346,,Center,674.9042,765.3484,49.84708,,-3.144047,-1.858132,49.84708,4.190309
1742844907313,2.086414,348,,Center,675.3309,764.9179,49.84802,,-3.114356,-1.88818,49.84802,4.178796
1742844907329,2.103411,349,,Center,675.5737,765.3833,49.8502,,-3.097559,-1.855812,49.8502,4.142977
1742844907345,2.120125,350,,Center,675.6678,762.0688,49.84179,,-3.090479,-2.086558,49.84179,4.278602
1742844907378,2.152155,352,,Center,660.626,759.0192,49.75716,,-4.132044,-2.295245,49.75716,5.426611
1742844907394,2.16887,353,,Center,660.4767,759.5543,49.75793,,-4.142499,-2.258041,49.75793,5.416454
1742844907425,2.200336,355,,Center,659.5007,759.682,49.75288,,-4.209997,-2.248926,49.75288,5.479868
1742844907456,2.230982,357,,Center,658.6685,760.3244,49.75004,,-4.267659,-2.204098,49.75004,5.514661
1742844907487,2.262534,359,,Center,656.9984,762.748,49.74712,,-4.383613,-2.035339,49.74712,5.549026
1742844907519,2.294709,361,,Center,653.9762,758.4504,49.7157,,-4.590996,-2.332887,49.7157,5.913772
1742844907552,2.326133,363,Eye Hit,Center,628.6471,755.5151,49.51558,SW_Tree_30,-6.326698,-2.526784,49.51558,7.833886
1742844907584,2.357387,365,,Center,562.5764,749.3964,48.73116,,-10.72974,-2.903795,48.73116,12.8495
1742844907600,2.374843,366,,Center,553.9271,748.9279,48.60326,,-11.28956,-2.92802,48.60326,13.49383
1742844907631,2.406624,368,,Center,536.3531,745.9022,48.31779,,-12.41091,-3.115302,48.31779,14.83305
1742844907665,2.439007,370,,Center,523.7123,746.2446,48.10844,,-13.2077,-3.078763,48.10844,15.74316
1742844907699,2.473809,372,,Center,505.8497,747.799,47.79834,,-14.31675,-2.955001,47.79834,17.00559
1742844907733,2.507193,374,Eye Hit,Center,523.6667,748.3777,48.11637,SW_Tree_50,-13.21295,-2.935719,48.11637,15.71131
1742844907766,2.538741,376,Eye Hit,Center,703.9437,746.7007,49.86889,NorthSidewalk,-1.11992,-3.159614,49.86889,3.845678
1742844907784,2.556449,377,Eye Hit,Center,791.6042,747.1877,49.63591,NorthSidewalk,4.971039,-3.111045,49.63591,6.738077
1742844907799,2.574088,378,Eye Hit,Center,778.0269,747.5107,49.72171,NorthSidewalk,4.035419,-3.09396,49.72171,5.83929
1742844907830,2.605741,380,,Center,774.7742,761.201,49.78929,,3.814384,-2.144793,49.78929,5.022856
1742844907863,2.636497,382,,Center,744.6337,761.5056,49.90655,,1.719495,-2.128581,49.90655,3.138373
1742844907878,2.653903,383,,Center,723.2821,770.0402,49.95766,,0.2293317,-1.534416,49.95766,1.778723
1742844907911,2.685149,385,,Center,703.5804,770.0163,49.94535,,-1.147021,-1.53571,49.94535,2.197845
