trial_number,car_congestion,start_unix,start_timestamp,start_frame,end_unix,end_timestamp,end_frame
0,NoCongestion,1742844904966,3.656917,263,1742844921602,20.01333,939
1,MinimalCongestion,1742844921605,20.01333,939,1742844939478,37.90667,2049
2,NoCongestion,1742844939478,37.90667,2049,1742844978617,77.01334,3953
3,MinimalCongestion,1742844978617,77.01334,3953,1742845018134,116.56,6365
4,MinimalCongestion,1742845018135,116.56,6365,1742845032997,131.4,7051
5,NoCongestion,1742845032997,131.4,7051,1742845049913,148.3333,8103
6,NoCongestion,1742845049914,148.3333,8103,1742845066703,165.1067,8878
7,MinimalCongestion,1742845066703,165.1067,8878,1742845077660,176.0933,9571
8,NoCongestion,1742845077660,176.0933,9571,1742845089786,188.1867,10150
