unix_ms,rel_timestamp,frame,event,side,screen_pos_x,screen_pos_y,screen_pos_z,target_name,local_direction_x,local_direction_y,local_direction_z,angular_diff
1742933093255,0,278,,Center,0,0,0,,1.774622E-09,1.191958E-07,2.671623E-10,0
1742933093524,0.01999998,280,,Center,741.4938,846.4832,49.81628,,1.497608,3.796467,49.81628,4.683455
1742933093576,0.07935309,281,Eye Hit,Center,744.5492,829.7291,49.88529,MicroBus1-Detailed,1.712868,2.632853,49.88529,3.602827
1742933093632,0.1211503,282,Eye Hit,Center,745.2073,820.9084,49.91193,Truck1-Detailed,1.759722,2.018513,49.91193,3.07103
1742933093679,0.199528,283,Eye Hit,Center,753.6196,856.7191,49.72511,Truck1-Detailed,2.338201,4.501456,49.72511,5.824636
1742933093741,0.2269557,284,,Center,757.8749,782.9264,49.9089,,2.643882,-0.6330764,49.90891,3.117908
1742933093785,0.2884052,285,Eye Hit,Center,756.6097,759.0342,49.86583,NorthSidewalk,2.553362,-2.298903,49.86583,3.941487
1742933093813,0.3317764,286,Eye Hit,Center,750.2373,742.7363,49.82152,NorthSidewalk,2.107042,-3.432413,49.82153,4.621647
1742933093842,0.3601425,287,Eye Hit,Center,748.3153,746.3958,49.84491,NorthSidewalk,1.974038,-3.178922,49.84491,4.293316
1742933093874,0.4002268,288,Eye Hit,Center,747.7361,755.7504,49.88455,NorthSidewalk,1.935194,-2.52882,49.88454,3.65243
1742933093902,0.4200232,289,Eye Hit,Center,748.3777,760.5488,49.9001,NorthSidewalk,1.980579,-2.194651,49.9001,3.390382
1742933093931,0.4480813,290,Eye Hit,Center,748.9724,761.0564,49.90068,NorthSidewalk,2.022108,-2.159317,49.90068,3.392691
1742933093959,0.477423,291,Eye Hit,Center,747.3498,756.7864,49.89167,NorthSidewalk,1.908514,-2.456837,49.89167,3.568041
1742933093987,0.5041564,292,Eye Hit,Center,746.1276,749.564,49.86726,NorthSidewalk,1.822338,-2.959484,49.86726,3.986885
1742933094022,0.5327332,293,Eye Hit,Center,726.067,694.7932,49.53034,RoadCrosswalk,0.4203011,-6.733794,49.53034,7.756966
1742933094063,0.5671804,294,Eye Hit,Center,724.5498,693.9787,49.52354,RoadCrosswalk,0.315151,-6.789321,49.52354,7.814469
1742933094094,0.6100948,295,Eye Hit,Center,727.5848,699.9437,49.57508,RoadCrosswalk,0.5259209,-6.382654,49.57508,7.360901
1742933094135,0.6406872,296,Eye Hit,Center,730.1098,703.0475,49.59949,RoadCrosswalk,0.7013495,-6.170603,49.59949,7.136826
1742933094166,0.6816661,297,Eye Hit,Center,734.8022,704.1559,49.60261,RoadCrosswalk,1.026938,-6.094092,49.60261,7.101914
1742933094208,0.7120068,298,Eye Hit,Center,736.0156,705.6338,49.61281,RoadCrosswalk,1.111355,-5.992676,49.6128,7.003563
1742933094239,0.7533109,299,Eye Hit,Center,733.5905,709.1251,49.64322,RoadCrosswalk,0.943647,-5.754075,49.64322,6.699078
1742933094280,0.7840273,300,Eye Hit,Center,732.4982,711.3727,49.6634,RoadCrosswalk,0.8681563,-5.6003,49.6634,6.509967
1742933094309,0.8254473,301,Eye Hit,Center,739.3322,735.3025,49.81039,NorthSidewalk,1.34684,-3.949577,49.81039,4.788843
1742933094350,0.854728,302,Eye Hit,Center,741.2081,733.9117,49.79953,NorthSidewalk,1.477208,-4.045664,49.79953,4.942962
1742933094379,0.8955009,303,Eye Hit,Center,740.4529,738.7318,49.82701,NorthSidewalk,1.425384,-3.711966,49.82701,4.562569
1742933094420,0.9246037,304,Eye Hit,Center,736.9039,734.8647,49.81335,NorthSidewalk,1.177727,-3.980355,49.81334,4.763413
1742933094448,0.9658,305,Eye Hit,Center,737.9569,732.2156,49.79665,NorthSidewalk,1.250674,-4.163635,49.79665,4.989473
