unix_ms,rel_timestamp,frame,obj_name,guid,pos_x,pos_y,pos_z,forward_x,forward_y,forward_z
1742933093300,3.845885,278,HighMale2,29686,24.07,0.02500001,-3.4,0.08530466,0,0.9963549
1742933093300,3.845885,278,CenterEyeAnchor,27386,0.01097837,1.591559,0.002388822,-0.1009762,0.1765974,0.97909
1742933093300,3.845885,278,LowFemale2,33854,17.21,0.02500001,11.37,0,0,1
1742933093300,3.845885,278,HighFemale2,33816,-16.42,0.02500001,-2.43,0,0,1
1742933093300,3.845885,278,LowMale2,28708,-26.46,0.02500001,13.55,0,0,1
1742933093474,3.845885,279,HighMale2,29686,24.07156,0.02500001,-3.399631,0.1682632,0,0.9857421
1742933093474,3.845885,279,CenterEyeAnchor,27386,0.01825285,1.583345,0.008468986,-0.03692186,0.08486686,0.995708
1742933093474,3.845885,279,LowFemale2,33854,17.21,0.02500001,11.37,0,0,1
1742933093474,3.845885,279,HighFemale2,33816,-16.42,0.02500001,-2.43,0,0,1
1742933093474,3.845885,279,LowMale2,28708,-26.46,0.02500001,13.55,-0.09456559,0,0.9955186
1742933093526,3.865885,280,HighMale2,29686,24.07716,0.02500001,-3.396156,0.2810627,0,0.9596894
1742933093526,3.865885,280,CenterEyeAnchor,27386,0.01867289,1.576356,0.007678523,-0.03542175,0.01231293,0.9992966
1742933093526,3.865885,280,LowFemale2,33854,17.21,0.02500001,11.37,0.1338508,0,0.9910015
1742933093526,3.865885,280,HighFemale2,33816,-16.42,0.02500001,-2.43,-0.1198606,0,0.9927907
1742933093526,3.865885,280,LowMale2,28708,-26.45636,0.02500001,13.54996,-0.2255752,0,0.9742258
1742933093526,3.865885,280,Sedan1-Detailed,26854,-70,0,3.75,1,0,-1.192093E-07
1742933093577,3.925238,281,HighMale2,29686,24.11387,0.02500001,-3.38403,0.5592484,0,0.8290001
1742933093577,3.925238,281,CenterEyeAnchor,27386,0.01843445,1.569265,0.006550121,-0.03755957,-0.03008713,0.9988413
1742933093578,3.925238,281,LowFemale2,33854,17.20013,0.02500001,11.37823,0.5002664,0,0.8658716
1742933093578,3.925238,281,HighFemale2,33816,-16.40176,0.02500001,-2.410992,-0.4448298,0,0.8956152
1742933093578,3.925238,281,LowMale2,28708,-26.45164,0.02500001,13.54994,-0.5641221,0,0.8256914
1742933093578,3.925238,281,Sedan1-Detailed,26854,-70,0,3.75,1,0,-1.192093E-07
1742933093634,3.967035,282,HighMale2,29686,24.16558,0.02500001,-3.397595,0.68669,0,0.7269504
1742933093634,3.967035,282,CenterEyeAnchor,27386,0.01830251,1.563598,0.005720466,-0.0397052,-0.06379833,0.9971727
1742933093634,3.967035,282,LowFemale2,33854,17.23312,0.02500001,11.3765,0.6766499,0,0.7363049
1742933093634,3.967035,282,HighFemale2,33816,-16.41869,0.02500001,-2.391078,-0.6020198,0,0.7984812
1742933093634,3.967035,282,LowMale2,28708,-26.48248,0.02500001,13.54483,-0.7212424,0,0.6926828
1742933093634,3.967035,282,Sedan1-Detailed,26854,-69.98933,0,3.75,1,0,-1.192093E-07
1742933093680,4.045413,283,HighMale2,29686,24.22501,0.02500001,-3.39282,0.836866,0,0.5474079
1742933093680,4.045413,283,CenterEyeAnchor,27386,0.01855896,1.569038,0.006277397,-0.04262754,-0.06291039,0.9971084
1742933093680,4.045413,283,LowFemale2,33854,17.30955,0.02500001,11.35258,0.8767505,0,0.4809455
1742933093680,4.045413,283,HighFemale2,33816,-16.47712,0.02500001,-2.385667,-0.7923487,0,0.6100684
1742933093680,4.045413,283,LowMale2,28708,-26.54218,0.02500001,13.54008,-0.8954049,0,0.4452529
1742933093680,4.045413,283,Sedan1-Detailed,26854,-69.92001,0,3.75,1,0,-1.192093E-07
1742933093743,4.072841,284,HighMale2,29686,24.25387,0.02500001,-3.388975,0.8644454,0,0.5027267
1742933093743,4.072841,284,CenterEyeAnchor,27386,0.01815297,1.57005,0.005349422,-0.05057011,-0.05458546,0.9972277
1742933093743,4.072841,284,LowFemale2,33854,17.33861,0.02500001,11.34369,0.9105284,0,0.4134467
1742933093743,4.072841,284,HighFemale2,33816,-16.50205,0.02500001,-2.378598,-0.8279839,0,0.560752
1742933093743,4.072841,284,LowMale2,28708,-26.56622,0.02500001,13.54179,-0.9242548,0,0.3817765
1742933093743,4.072841,284,Sedan1-Detailed,26854,-69.88268,0,3.75,1,0,-1.192093E-07
1742933093787,4.13429,285,HighMale2,29686,24.33963,0.02500001,-3.366268,0.908837,0,0.4171514
1742933093787,4.13429,285,CenterEyeAnchor,27386,0.01795808,1.568989,0.004052158,-0.05272333,-0.05789298,0.9969296
1742933093787,4.13429,285,LowFemale2,33854,17.4116,0.02500001,11.33802,0.9591749,0,0.2828136
1742933093788,4.13429,285,HighFemale2,33816,-16.56588,0.02500001,-2.35708,-0.8855206,0,0.4646002
1742933093788,4.13429,285,LowMale2,28708,-26.6231,0.02500001,13.54802,-0.9656081,0,0.2600023
1742933093788,4.13429,285,Sedan1-Detailed,26854,-69.75824,0,3.75,1,0,-1.192093E-07
1742933093814,4.177661,286,HighMale2,29686,24.40006,0.02500001,-3.352457,0.9273116,0,0.3742903
1742933093814,4.177661,286,CenterEyeAnchor,27386,0.01788686,1.568452,0.003401975,-0.05368901,-0.05573106,0.9970013
1742933093815,4.177661,286,LowFemale2,33854,17.46823,0.02500001,11.33381,0.976195,0,0.2168949
1742933093815,4.177661,286,HighFemale2,33816,-16.61883,0.02500001,-2.344986,-0.9094636,0,0.4157837
1742933093816,4.177661,286,LowMale2,28708,-26.6753,0.02500001,13.54772,-0.9799976,0,0.1990098
1742933093816,4.177661,286,Sedan1-Detailed,26854,-69.66225,0,3.75,1,0,-1.192093E-07
1742933093843,4.206028,287,HighMale2,29686,24.43188,0.02500001,-3.344691,0.9359047,0,0.3522534
1742933093843,4.206028,287,CenterEyeAnchor,27386,0.01762978,1.567117,0.001652837,-0.0555523,-0.05876191,0.9967251
1742933093843,4.206028,287,LowFemale2,33854,17.51507,0.02500001,11.33263,0.9831137,0,0.182996
1742933093843,4.206028,287,HighFemale2,33816,-16.64839,0.02500001,-2.339562,-0.9205685,0,0.3905814
1742933093843,4.206028,287,LowMale2,28708,-26.70929,0.02500001,13.54445,-0.9858315,0,0.1677384
1742933093843,4.206028,287,Sedan1-Detailed,26854,-69.58936,0,3.75,1,0,-1.192093E-07
1742933093876,4.246112,288,HighMale2,29686,24.4646,0.02500001,-3.333232,0.9453403,0,0.3260856
1742933093876,4.246112,288,CenterEyeAnchor,27386,0.01752046,1.566545,-4.667731E-06,-0.05717878,-0.06678659,0.9961275
1742933093876,4.246112,288,LowFemale2,33854,17.54879,0.02500001,11.33142,0.9897394,0,0.1428843
1742933093876,4.246112,288,HighFemale2,33816,-16.68242,0.02500001,-2.331184,-0.9327119,0,0.3606225
1742933093876,4.246112,288,LowMale2,28708,-26.74474,0.02500001,13.54363,-0.9914103,0,0.1307898
1742933093876,4.246112,288,Sedan1-Detailed,26854,-69.46673,0,3.75,1,0,-1.192093E-07
1742933093904,4.265908,289,HighMale2,29686,24.4801,0.02500001,-3.326883,0.9488549,0,0.3157128
1742933093904,4.265908,289,CenterEyeAnchor,27386,0.01735263,1.566208,-0.001572219,-0.05789331,-0.07339963,0.9956208
1742933093904,4.265908,289,LowFemale2,33854,17.56489,0.02500001,11.33186,0.9918982,0,0.1270346
1742933093904,4.265908,289,HighFemale2,33816,-16.69842,0.02500001,-2.325868,-0.9372241,0,0.3487278
1742933093904,4.265908,289,LowMale2,28708,-26.76186,0.02500001,13.54426,-0.9932254,0,0.116204
1742933093904,4.265908,289,Sedan1-Detailed,26854,-69.4223,0,3.75,1,0,-1.192093E-07
1742933093932,4.293966,290,HighMale2,29686,24.51427,0.02500001,-3.309716,0.953108,0,0.3026306
1742933093932,4.293966,290,CenterEyeAnchor,27386,0.01718405,1.566133,-0.003153843,-0.05843107,-0.07648481,0.9953572
1742933093932,4.293966,290,LowFemale2,33854,17.59752,0.02500001,11.34062,0.994239,0,0.1071872
1742933093932,4.293966,290,HighFemale2,33816,-16.73404,0.02500001,-2.312094,-0.9426646,0,0.3337417
1742933093932,4.293966,290,LowMale2,28708,-26.79705,0.02500001,13.54928,-0.995191,0,0.09795386
1742933093933,4.293966,290,Sedan1-Detailed,26854,-69.27837,0,3.75,1,0,-1.192093E-07
1742933093960,4.323308,291,HighMale2,29686,24.54171,0.02500001,-3.297796,0.9567183,0,0.291016
1742933093960,4.323308,291,CenterEyeAnchor,27386,0.0169401,1.566362,-0.004527403,-0.05843188,-0.07495469,0.9954735
1742933093960,4.323308,291,LowFemale2,33854,17.62419,0.02500001,11.3464,0.9959721,0,0.08966547
1742933093960,4.323308,291,HighFemale2,33816,-16.76243,0.02500001,-2.301843,-0.9472694,0,0.3204384
1742933093960,4.323308,291,LowMale2,28708,-26.82435,0.02500001,13.54997,-0.9966435,0,0.0818634
1742933093960,4.323308,291,Sedan1-Detailed,26854,-69.17356,0,3.75,1,0,-1.192093E-07
1742933093988,4.350041,292,HighMale2,29686,24.56725,0.02500001,-3.287259,0.9593917,0,0.2820774
1742933093988,4.350041,292,CenterEyeAnchor,27386,0.01676955,1.566726,-0.005638301,-0.05985652,-0.0719639,0.9956096
1742933093988,4.350041,292,LowFemale2,33854,17.64922,0.02500001,11.35131,0.9970885,0,0.07625431
1742933093988,4.350041,292,HighFemale2,33816,-16.78898,0.02500001,-2.29223,-0.9506716,0,0.3101994
1742933093988,4.350041,292,LowMale2,28708,-26.85064,0.02500001,13.55001,-0.9975775,0,0.06956422
1742933093988,4.350041,292,Sedan1-Detailed,26854,-69.06168,0,3.75,1,0,-1.192093E-07
1742933094023,4.378618,293,HighMale2,29686,24.59617,0.02500001,-3.275712,0.9617566,0,0.2739056
1742933094023,4.378618,293,CenterEyeAnchor,27386,0.01657959,1.566827,-0.006814869,-0.06204156,-0.06952484,0.9956491
1742933094023,4.378618,293,LowFemale2,33854,17.67802,0.02500001,11.35684,0.9979455,0,0.06406844
1742933094023,4.378618,293,HighFemale2,33816,-16.81945,0.02500001,-2.281227,-0.9536755,0,0.3008374
