trial_number,car_congestion,start_unix,start_timestamp,start_frame,end_unix,end_timestamp,end_frame
0,NoCongestion,1742933093254,3.845885,278,1742933125030,35.37333,1649
1,MinimalCongestion,1742933125032,35.37333,1649,1742933151401,61.77333,3177
2,NoCongestion,1742933151401,61.77333,3177,1742933164302,74.64,3742
3,NoCongestion,1742933164303,74.64,3742,1742933182396,92.76,4880
4,MinimalCongestion,1742933182396,92.76,4880,1742933224335,134.6667,6986
5,MinimalCongestion,1742933224336,134.6667,6986,1742933242645,153.0133,8129
6,NoCongestion,1742933242646,153.0133,8129,1742933258246,168.5867,8878
7,MinimalCongestion,1742933258246,168.5867,8878,1742933293155,203.52,11022
8,NoCongestion,1742933293155,203.52,11022,1742933315960,226.3067,12154
