unix_ms,rel_timestamp,frame,event,side,screen_pos_x,screen_pos_y,screen_pos_z,target_name,local_direction_x,local_direction_y,local_direction_z,angular_diff
1743094952874,0,256,,Center,0,0,0,,-1.750616E-10,1.19238E-07,-7.398581E-10,0
1743094953207,0.01999998,258,Eye Hit,Center,693.8657,780.7313,49.94289,MicroBus1-Detailed,-1.825567,-0.7874748,49.94289,2.279674
1743094953259,0.07868934,259,Eye Hit,Center,694.4488,776.7668,49.93911,MicroBus5-Detailed,-1.784701,-1.064317,49.93911,2.382692
1743094953314,0.1211741,260,Eye Hit,Center,693.2783,776.3398,49.93538,MicroBus5-Detailed,-1.866315,-1.094019,49.93538,2.48065
1743094953363,0.1923621,261,Eye Hit,Center,691.9606,774.7941,49.92908,MicroBus5-Detailed,-1.958104,-1.201875,49.92908,2.634628
1743094953423,0.2250896,262,Eye Hit,Center,692.8625,776.0672,49.93343,MicroBus5-Detailed,-1.895285,-1.113029,49.93343,2.520415
1743094953461,0.2864966,263,Eye Hit,Center,693.0759,776.1398,49.93395,MicroBus5-Detailed,-1.880397,-1.107983,49.93395,2.502724
1743094953493,0.3233707,264,Eye Hit,Center,691.7722,775.2042,49.92889,MicroBus5-Detailed,-1.971251,-1.173202,49.92889,2.630687
1743094953526,0.361047,265,Eye Hit,Center,690.4172,769.4606,49.91415,MicroBus5-Detailed,-2.065269,-1.573885,49.91415,2.978021
1743094953556,0.3896852,266,Eye Hit,Center,690.0334,769.1162,49.91225,MicroBus5-Detailed,-2.091983,-1.59784,49.91225,3.019021
1743094953585,0.418937,267,,Center,682.2771,733.4595,49.74617,,-2.624688,-4.073479,49.74617,5.563698
1743094953615,0.4482682,268,Eye Hit,Center,681.2413,675.1285,49.25651,NorthSidewalk,-2.670215,-8.051889,49.25652,9.771752
1743094953645,0.4780805,269,Eye Hit,Center,681.4879,675.7122,49.26377,NorthSidewalk,-2.653615,-8.012964,49.26377,9.722696
1743094953676,0.5090506,270,Eye Hit,Center,682.4845,675.2383,49.26215,NorthSidewalk,-2.584863,-8.045275,49.26215,9.73369
1743094953708,0.5400326,271,Eye Hit,Center,683.6835,677.6708,49.29253,NorthSidewalk,-2.503794,-7.88263,49.29253,9.524872
1743094953740,0.5707448,272,Eye Hit,Center,682.2106,675.6291,49.26535,NorthSidewalk,-2.603907,-8.018986,49.26535,9.711406
1743094953770,0.6025522,273,Eye Hit,Center,681.676,676.0447,49.26797,NorthSidewalk,-2.640877,-7.990605,49.26797,9.69339
1743094953801,0.6320975,274,Eye Hit,Center,681.0419,672.9171,49.23132,NorthSidewalk,-2.68258,-8.200192,49.23132,9.940221
1743094953833,0.6631286,275,Eye Hit,Center,683.2811,665.5031,49.15432,NorthSidewalk,-2.524435,-8.696939,49.15433,10.43879
1743094953865,0.6954849,276,Eye Hit,Center,689.4166,591.2572,48.08008,RoadCrosswalk,-2.056666,-13.49987,48.08008,15.85553
1743094953894,0.7273185,277,Eye Hit,Center,690.1786,590.8251,48.07458,RoadCrosswalk,-2.005195,-13.52727,48.07458,15.87869
